dataset,vertices,edges,method,parameter_name,parameter_value,oracle_build_time_ms,oracle_memory_bytes,avg_dijkstra_time_ms,avg_oracle_time_ms,avg_absolute_error,avg_relative_error,max_absolute_error,max_relative_error,theoretical_stretch,total_bunch_size,valid_queries
random_1000_3000.txt,1000,3000,SEQUENTIAL_INDEX,landmarks,4,2.1955,32016,0.501392,0.0003846,34.171,1.40432,64,18,0,0,1000
random_1000_3000.txt,1000,3000,SEQUENTIAL_INDEX,landmarks,8,4.0562,64032,0.526861,0.0005755,16.322,0.700147,46,14.6667,0,0,1000
random_1000_3000.txt,1000,3000,SEQUENTIAL_INDEX,landmarks,16,8.1999,128064,0.493361,0.0007397,13.152,0.566113,46,9.33333,0,0,1000
random_1000_3000.txt,1000,3000,DEGREE_CENTRALITY,landmarks,4,2.0503,32016,0.499946,0.0003987,11.473,0.499763,43,9.33333,0,0,1000
random_1000_3000.txt,1000,3000,DEGREE_CENTRALITY,landmarks,8,4.8589,64032,0.491607,0.0005225,6.456,0.286551,43,8.6,0,0,1000
random_1000_3000.txt,1000,3000,DEGREE_CENTRALITY,landmarks,16,8.4046,128064,0.486043,0.0007173,4.893,0.224046,42,8.4,0,0,1000
random_1000_3000.txt,1000,3000,THORUP_ZWICK_RANDOM,k,2,564.043,724008,0.487916,0.0018017,10.532,0.405171,42,1.88235,3,57992,1000
random_1000_3000.txt,1000,3000,THORUP_ZWICK_RANDOM,k,3,694.542,367200,0.482461,0.0016787,10.932,0.423074,40,2.36364,5,27229,1000
random_1000_3000.txt,1000,3000,THORUP_ZWICK_DEGREE_BIASED,k,2,623.021,694872,0.51785,0.0018652,9.916,0.387651,37,1.88235,3,55563,1000
random_1000_3000.txt,1000,3000,THORUP_ZWICK_DEGREE_BIASED,k,3,677.503,364028,0.486294,0.0021619,9.585,0.375062,40,3,5,26965,1000
random_2000_6000.txt,2000,6000,SEQUENTIAL_INDEX,landmarks,4,4.9672,64016,1.0541,0.0005577,24.355,0.90954,54,10.8,0,0,1000
random_2000_6000.txt,2000,6000,SEQUENTIAL_INDEX,landmarks,8,9.4118,128032,1.09151,0.0009247,21.145,0.799701,54,10.8,0,0,1000
random_2000_6000.txt,2000,6000,SEQUENTIAL_INDEX,landmarks,16,16.8833,256064,1.08872,0.0011264,12.411,0.472073,36,6.8,0,0,1000
random_2000_6000.txt,2000,6000,DEGREE_CENTRALITY,landmarks,4,7.0723,64016,1.05579,0.0005939,15.534,0.588873,46,8.8,0,0,1000
random_2000_6000.txt,2000,6000,DEGREE_CENTRALITY,landmarks,8,8.6007,128032,1.03337,0.0007149,12.339,0.473889,44,8.8,0,0,1000
random_2000_6000.txt,2000,6000,DEGREE_CENTRALITY,landmarks,16,18.1085,256064,1.03843,0.0011822,8.471,0.330465,38,7.6,0,0,1000
random_2000_6000.txt,2000,6000,THORUP_ZWICK_RANDOM,k,2,2582.44,2138464,1.04255,0.0021142,10.853,0.396908,38,2,3,173522,1000
random_2000_6000.txt,2000,6000,THORUP_ZWICK_RANDOM,k,3,2955.3,832832,1.18041,0.0023807,14.346,0.514313,42,2.72727,5,62683,1000
random_2000_6000.txt,2000,6000,THORUP_ZWICK_DEGREE_BIASED,k,2,2440.72,2034116,1.04109,0.0021686,10.784,0.394356,34,2,3,164827,1000
random_2000_6000.txt,2000,6000,THORUP_ZWICK_DEGREE_BIASED,k,3,2869.65,754100,1.01402,0.0021221,13.459,0.492925,41,3,5,56119,1000
random_3000_9000.txt,3000,9000,SEQUENTIAL_INDEX,landmarks,4,7.2619,96016,1.58261,0.0005526,22.148,0.798666,50,50,0,0,1000
random_3000_9000.txt,3000,9000,SEQUENTIAL_INDEX,landmarks,8,13.4702,192032,1.54881,0.000736,17.607,0.639357,45,40,0,0,1000
random_3000_9000.txt,3000,9000,SEQUENTIAL_INDEX,landmarks,16,26.4267,384064,1.5533,0.0010859,14.378,0.532669,45,38,0,0,1000
random_3000_9000.txt,3000,9000,DEGREE_CENTRALITY,landmarks,4,7.7216,96016,1.54386,0.0005213,17.219,0.625301,46,36,0,0,1000
random_3000_9000.txt,3000,9000,DEGREE_CENTRALITY,landmarks,8,14.0566,192032,1.57756,0.0007642,13.42,0.499909,42,36,0,0,1000
random_3000_9000.txt,3000,9000,DEGREE_CENTRALITY,landmarks,16,27.2986,384064,1.55882,0.0011493,9.199,0.343729,35,20,0,0,1000
random_3000_9000.txt,3000,9000,THORUP_ZWICK_RANDOM,k,2,6109.76,3825096,1.56935,0.002169,11.661,0.383313,36,1.9375,3,311737,1000
random_3000_9000.txt,3000,9000,THORUP_ZWICK_RANDOM,k,3,6987.48,1464012,1.57528,0.0024067,16.256,0.530433,40,2.88889,5,111926,1000
random_3000_9000.txt,3000,9000,THORUP_ZWICK_DEGREE_BIASED,k,2,5799.41,3630208,1.53852,0.0022739,11.641,0.382285,36,1.9375,3,295499,1000
