run,size,generator,sort,time,comparisons,pointer_changes
1,1024,Random,Insertion Sort,0.010000,272473,2997
1,1024,Random,Merge Sort,0.001000,8912,11984
1,1024,Sorted,Insertion Sort,0.006000,523776,0
1,1024,Sorted,Merge Sort,0.001000,5120,8192
1,1024,Reverse,Insertion Sort,0.006000,1023,3069
1,1024,Reverse,Merge Sort,0.000000,5120,8192
1,1024,Almost Sorted,Insertion Sort,0.011000,476470,3045
1,1024,Almost Sorted,Merge Sort,0.000000,8049,11121
1,2048,Random,Insertion Sort,0.043000,1088653,6075
1,2048,Random,Merge Sort,0.001000,19909,26053
1,2048,Sorted,Insertion Sort,0.025000,2096128,0
1,2048,Sorted,Merge Sort,0.001000,11264,17408
1,2048,Reverse,Insertion Sort,0.024000,2047,6141
1,2048,Reverse,Merge Sort,0.001000,11264,17408
1,2048,Almost Sorted,Insertion Sort,0.049000,1901468,6051
1,2048,Almost Sorted,Merge Sort,0.001000,18723,24867
1,4096,Random,Insertion Sort,0.194000,4262476,12144
1,4096,Random,Merge Sort,0.002000,43910,56198
1,4096,Sorted,Insertion Sort,0.098000,8386560,0
1,4096,Sorted,Merge Sort,0.002000,24576,36864
1,4096,Reverse,Insertion Sort,0.095000,4095,12285
1,4096,Reverse,Merge Sort,0.002000,24576,36864
1,4096,Almost Sorted,Insertion Sort,0.211000,7527545,12261
1,4096,Almost Sorted,Merge Sort,0.003000,40282,52570
1,8192,Random,Insertion Sort,0.974000,16969933,24330
1,8192,Random,Merge Sort,0.006000,95964,120540
1,8192,Sorted,Insertion Sort,0.425000,33550336,0
1,8192,Sorted,Merge Sort,0.004000,53248,77824
1,8192,Reverse,Insertion Sort,0.417000,8191,24573
1,8192,Reverse,Merge Sort,0.005000,53248,77824
1,8192,Almost Sorted,Insertion Sort,0.880000,30089513,24540
1,8192,Almost Sorted,Merge Sort,0.006000,90314,114890
1,16384,Random,Insertion Sort,5.616000,67326128,48687
1,16384,Random,Merge Sort,0.013000,208207,257359
1,16384,Sorted,Insertion Sort,2.010000,134209536,0
1,16384,Sorted,Merge Sort,0.008000,114688,163840
1,16384,Reverse,Insertion Sort,2.001000,16383,49149
1,16384,Reverse,Merge Sort,0.010000,114688,163840
1,16384,Almost Sorted,Insertion Sort,4.715000,123273142,49062
1,16384,Almost Sorted,Merge Sort,0.011000,195607,244759
1,32768,Random,Insertion Sort,35.258000,269774001,97341
1,32768,Random,Merge Sort,0.032000,449058,547362
1,32768,Sorted,Insertion Sort,10.144000,536854528,0
1,32768,Sorted,Merge Sort,0.019000,245760,344064
1,32768,Reverse,Insertion Sort,9.850000,32767,98301
1,32768,Reverse,Merge Sort,0.018000,245760,344064
1,32768,Almost Sorted,Insertion Sort,24.080000,485756745,98262
1,32768,Almost Sorted,Merge Sort,0.027000,426312,524616
2,1024,Random,Insertion Sort,0.010000,269206,3018
2,1024,Random,Merge Sort,0.001000,8942,12014
2,1024,Sorted,Insertion Sort,0.008000,523776,0
2,1024,Sorted,Merge Sort,0.001000,5120,8192
2,1024,Reverse,Insertion Sort,0.006000,1023,3069
2,1024,Reverse,Merge Sort,0.000000,5120,8192
2,1024,Almost Sorted,Insertion Sort,0.013000,488863,2946
2,1024,Almost Sorted,Merge Sort,0.000000,8037,11109
2,2048,Random,Insertion Sort,0.046000,1066876,6057
2,2048,Random,Merge Sort,0.001000,19861,26005
2,2048,Sorted,Insertion Sort,0.024000,2096128,0
2,2048,Sorted,Merge Sort,0.001000,11264,17408
2,2048,Reverse,Insertion Sort,0.024000,2047,6141
2,2048,Reverse,Merge Sort,0.001000,11264,17408
2,2048,Almost Sorted,Insertion Sort,0.071000,1950362,6102
2,2048,Almost Sorted,Merge Sort,0.003000,18773,24917
2,4096,Random,Insertion Sort,0.188000,4212411,12147
2,4096,Random,Merge Sort,0.002000,43991,56279
2,4096,Sorted,Insertion Sort,0.102000,8386560,0
2,4096,Sorted,Merge Sort,0.003000,24576,36864
2,4096,Reverse,Insertion Sort,0.094000,4095,12285
2,4096,Reverse,Merge Sort,0.002000,24576,36864
2,4096,Almost Sorted,Insertion Sort,0.207000,7443786,12228
2,4096,Almost Sorted,Merge Sort,0.002000,39219,51507
2,8192,Random,Insertion Sort,0.718000,16902244,24282
2,8192,Random,Merge Sort,0.007000,95938,120514
2,8192,Sorted,Insertion Sort,0.433000,33550336,0
2,8192,Sorted,Merge Sort,0.003000,53248,77824
2,8192,Reverse,Insertion Sort,0.417000,8191,24573
2,8192,Reverse,Merge Sort,0.004000,53248,77824
2,8192,Almost Sorted,Insertion Sort,0.892000,30700339,24516
2,8192,Almost Sorted,Merge Sort,0.005000,89604,114180
2,16384,Random,Insertion Sort,5.507000,67615289,48654
2,16384,Random,Merge Sort,0.013000,208277,257429
2,16384,Sorted,Insertion Sort,1.941000,134209536,0
2,16384,Sorted,Merge Sort,0.007000,114688,163840
2,16384,Reverse,Insertion Sort,2.229000,16383,49149
2,16384,Reverse,Merge Sort,0.007000,114688,163840
2,16384,Almost Sorted,Insertion Sort,5.770000,120531710,49068
2,16384,Almost Sorted,Merge Sort,0.011000,195523,244675
2,32768,Random,Insertion Sort,31.184000,271568880,97401
2,32768,Random,Merge Sort,0.035000,449391,547695
2,32768,Sorted,Insertion Sort,10.312000,536854528,0
2,32768,Sorted,Merge Sort,0.019000,245760,344064
2,32768,Reverse,Insertion Sort,9.045000,32767,98301
2,32768,Reverse,Merge Sort,0.017000,245760,344064
2,32768,Almost Sorted,Insertion Sort,21.599000,503917797,98235
2,32768,Almost Sorted,Merge Sort,0.027000,424688,522992
3,1024,Random,Insertion Sort,0.010000,266563,3039
3,1024,Random,Merge Sort,0.001000,8957,12029
3,1024,Sorted,Insertion Sort,0.006000,523776,0
