algorithm,time_us
Naive,2.78123e+07
Naive,2.71755e+07
Naive,2.74727e+07
Naive,2.79466e+07
Naive,2.77934e+07
Naive,2.79166e+07
Naive,2.78168e+07
Naive,2.7604e+07
Naive,2.81503e+07
Naive,2.77262e+07
Naive,2.74909e+07
Naive,2.72471e+07
Naive,2.69275e+07
Naive,2.70862e+07
Naive,2.67993e+07
Naive,2.71661e+07
Naive,2.69984e+07
Naive,2.70867e+07
Naive,2.69903e+07
Naive,2.68873e+07
Naive,2.70467e+07
Naive,2.67205e+07
Naive,2.67826e+07
Naive,2.67447e+07
Naive,2.68014e+07
KMP,2.78439e+07
KMP,2.80993e+07
KMP,2.72133e+07
KMP,2.73765e+07
KMP,2.72747e+07
KMP,2.70576e+07
KMP,2.735e+07
KMP,2.70264e+07
KMP,2.70976e+07
KMP,2.71022e+07
KMP,2.72259e+07
KMP,2.70764e+07
KMP,2.70295e+07
KMP,2.71372e+07
KMP,2.71939e+07
KMP,2.71216e+07
KMP,2.7046e+07
KMP,2.71132e+07
KMP,2.71131e+07
KMP,2.70329e+07
KMP,2.70636e+07
KMP,2.72794e+07
KMP,2.73346e+07
KMP,2.70738e+07
KMP,2.71368e+07
BM,2.4502e+06
BM,2.44443e+06
BM,2.45959e+06
BM,2.45107e+06
BM,2.45202e+06
BM,2.46336e+06
BM,2.46415e+06
BM,2.44446e+06
BM,2.54504e+06
BM,2.45533e+06
BM,2.48087e+06
BM,2.45078e+06
BM,2.46068e+06
BM,2.44133e+06
BM,2.45069e+06
BM,2.5087e+06
BM,2.45895e+06
BM,2.43698e+06
BM,2.46988e+06
BM,2.46882e+06
BM,2.47196e+06
BM,2.49361e+06
BM,2.45086e+06
BM,2.51524e+06
BM,2.46116e+06
